plotID,daylength,precip,range,tavg,solar,tmax,tmin,vpd,elevation,nlcdClass,lat,long,plotType,ndvi,siteID,plot_kgCm2
YELL_044,43200.1446849315,600.4242857142857,13.591103718199609,7.106931506849315,345.27223091976515,10.349017612524463,-3.242086105675147,492.02407436399216,2139.9,evergreenForest,44.953426,-110.534358,tower,0.59965,YELL,6.140103843108189
YELL_045,43200.1446849315,600.4242857142857,13.591103718199609,7.106931506849315,345.27223091976515,10.349017612524463,-3.242086105675147,492.02407436399216,2155.8,evergreenForest,44.950204,-110.536291,tower,0.6519,YELL,7.693185516251871
UNDE_050,43200.151561643834,994.7114285714285,11.792152641878669,8.916598825831702,297.7673228962818,10.354375733855186,-1.4377769080234832,709.863228962818,513,deciduousForest,46.2295,-89.537992,tower,0.903375,UNDE,8.814916878197792
UNDE_044,43200.151561643834,994.7114285714285,11.792152641878669,8.916598825831702,297.7673228962818,10.354375733855186,-1.4377769080234832,709.863228962818,507.4,mixedForest,46.231744,-89.53264,tower,0.9006000000000001,UNDE,9.020251155552
UNDE_047,43200.151561643834,994.7114285714285,11.792152641878669,8.916598825831702,297.7673228962818,10.354375733855186,-1.4377769080234832,709.863228962818,509.8,deciduousForest,46.23277,-89.536561,tower,0.9006000000000001,UNDE,20.708529820314233
UNDE_043,43200.151561643834,1000.0471428571428,11.801933463796477,8.857463796477495,298.17479452054795,10.329698630136987,-1.4722348336594913,708.7267632093933,525.7,deciduousForest,46.234247,-89.542459,tower,0.90575,UNDE,10.184016915845092
UNDE_045,43200.151561643834,994.7114285714285,11.792152641878669,8.916598825831702,297.7673228962818,10.354375733855186,-1.4377769080234832,709.863228962818,521.2,deciduousForest,46.233222,-89.539694,tower,0.9041,UNDE,12.3902252208763
UNDE_057,43200.151561643834,1000.0471428571428,11.801933463796477,8.857463796477495,298.17479452054795,10.329698630136987,-1.4722348336594913,708.7267632093933,516,woodyWetlands,46.234299,-89.540913,tower,0.901275,UNDE,7.994257841638866
UNDE_048,43200.151561643834,1000.0471428571428,11.801933463796477,8.857463796477495,298.17479452054795,10.329698630136987,-1.4722348336594913,708.7267632093933,526.9,mixedForest,46.232136,-89.540445,tower,0.902325,UNDE,8.231889553918757
UNDE_038,43200.151561643834,994.7114285714285,11.792152641878669,8.916598825831702,297.7673228962818,10.354375733855186,-1.4377769080234832,709.863228962818,505.5,woodyWetlands,46.232249,-89.534573,tower,0.9006000000000001,UNDE,5.274040464590124
UNDE_065,43200.151561643834,994.7114285714285,11.792152641878669,8.916598825831702,297.7673228962818,10.354375733855186,-1.4377769080234832,709.863228962818,516.4,mixedForest,46.236329,-89.533647,tower,0.89235,UNDE,9.864621869863333
MLBS_072,43200.10942465754,1685.5228571428572,10.042759295499021,18.974211350293544,324.881240704501,14.508485322896282,4.4657260273972605,993.7086418786693,1170.2,deciduousForest,37.375302,-80.525243,tower,0.8759250000000001,MLBS,10.388104982163755
MLBS_074,43200.10942465754,1657.5914285714284,10.188481409001957,19.312833659491194,322.75262230919765,14.750657534246574,4.562176125244618,998.8830058708414,1171.4,deciduousForest,37.377774,-80.524592,tower,0.9092,MLBS,13.89140149582602
MLBS_071,43200.10942465754,1657.5914285714284,10.188481409001957,19.312833659491194,322.75262230919765,14.750657534246574,4.562176125244618,998.8830058708414,1169.5,deciduousForest,37.37664,-80.524185,tower,0.8449,MLBS,18.41323303707007
MLBS_062,43200.10942465754,1685.5228571428572,10.042759295499021,18.974211350293544,324.881240704501,14.508485322896282,4.4657260273972605,993.7086418786693,1170.5,deciduousForest,37.374226,-80.526254,tower,0.86475,MLBS,14.424580374671446
MLBS_065,43200.10942465754,1685.5228571428572,10.042759295499021,18.974211350293544,324.881240704501,14.508485322896282,4.4657260273972605,993.7086418786693,1165.1,deciduousForest,37.373423,-80.524934,tower,0.86475,MLBS,15.501754436422566
MLBS_075,43200.10942465754,1685.5228571428572,10.042759295499021,18.974211350293544,324.881240704501,14.508485322896282,4.4657260273972605,993.7086418786693,1170.1,deciduousForest,37.373405,-80.523564,tower,0.86475,MLBS,16.317814046730387
MLBS_070,43200.10942465754,1685.5228571428572,10.042759295499021,18.974211350293544,324.881240704501,14.508485322896282,4.4657260273972605,993.7086418786693,1167.2,deciduousForest,37.375576,-80.526582,tower,0.8710500000000001,MLBS,11.748927567985046
MLBS_067,43200.10942465754,1628.7828571428572,10.301819960861057,19.735111545988257,318.5111819960861,15.018465753424657,4.716645792563601,1007.7637377690802,1171.6,deciduousForest,37.378569,-80.527279,tower,0.8982,MLBS,10.885817066380719
MLBS_068,43200.10942465754,1659.152857142857,10.15372602739726,19.375448140900197,318.40553033268105,14.764587084148728,4.610861056751467,1002.0115264187867,1166.6,deciduousForest,37.375876,-80.528303,tower,0.8710500000000001,MLBS,15.110684679144724
MLBS_063,43200.10942465754,1628.7828571428572,10.301819960861057,19.735111545988257,318.5111819960861,15.018465753424657,4.716645792563601,1007.7637377690802,1175.7,deciduousForest,37.377486,-80.527932,tower,0.85885,MLBS,15.026782947326561
MLBS_073,43200.10942465754,1657.5914285714284,10.188481409001957,19.312833659491194,322.75262230919765,14.750657534246574,4.562176125244618,998.8830058708414,1172.5,deciduousForest,37.378019,-80.525926,tower,0.8982,MLBS,19.204486886873052
MLBS_076,43200.10942465754,1657.5914285714284,10.188481409001957,19.312833659491194,322.75262230919765,14.750657534246574,4.562176125244618,998.8830058708414,1170.9,deciduousForest,37.376397,-80.521192,tower,0.8754500000000001,MLBS,11.758820113230032
