plotID,daylength,precip,range,tavg,solar,tmax,tmin,vpd,elevation,nlcdClass,lat,long,plotType,ndvi,siteID,plot_kgCm2
ABBY_070,43200.148794520544,2103.738571428571,9.401385518590997,20.791851272015656,258.31449706457926,15.096618395303327,5.695232876712329,924.3643561643836,363.1,evergreenForest,45.761334,-122.330793,tower,0.834225,ABBY,NA
DEJU_046,43200.34580821918,431.19999999999993,11.245953033268101,-3.0276360078277875,167.69981996086105,4.109158512720156,-7.136794520547945,424.6081800391389,511.7,evergreenForest,63.877756,-145.753497,tower,0.6415500000000001,DEJU,NA
ORNL_046,43200.10304109589,1696.0657142857142,11.744872798434441,30.83205088062622,325.06786692759295,21.28846183953033,9.54358904109589,1365.343264187867,338.5,deciduousForest,35.964418,-84.285882,tower,0.913625,ORNL,NA
HEAL_047,43200.34580821918,574.8742857142857,9.892305283757338,-4.2365870841487325,166.99040313111547,2.827859099804305,-7.064446183953033,443.74387475538157,688.3,shrubScrub,63.872772,-149.220657,tower,0.777775,HEAL,NA
HARV_048,43200.132547945206,1355.6742857142858,11.404688845401173,16.73948336594912,314.39100195694715,14.072086105675147,2.6673972602739733,905.2861996086106,360.7,mixedForest,42.541304,-72.178017,tower,0.9039250000000001,HARV,NA
HARV_043,43200.132547945206,1355.6742857142858,11.404688845401173,16.73948336594912,314.39100195694715,14.072086105675147,2.6673972602739733,905.2861996086106,354.4,evergreenForest,42.541027,-72.176583,tower,0.9039250000000001,HARV,NA
SOAP_022,43200.1078630137,937.6585714285713,13.74533072407045,29.21124070450098,365.6922074363992,21.478285714285715,7.732954990215265,781.4132367906067,1084.3,evergreenForest,37.038279,-119.252655,distributed,0.687075,SOAP,NA
RMNP_045,43200.121671232875,740.4528571428572,11.44481409001957,10.049385518590999,362.28880626223093,10.747099804305284,-0.6977142857142863,635.2636360078278,2745.2,evergreenForest,40.277348,-105.545588,tower,0.5632,RMNP,NA
RMNP_018,43200.120904109586,814.5385714285712,10.963855185909981,8.879878669275929,361.22580430528376,9.921866927592955,-1.0419882583170255,615.8491115459883,2855.5,evergreenForest,40.163833,-105.538996,distributed,0.68815,RMNP,NA
GRSM_062,43200.10243835616,1671.5085714285713,11.976367906066537,27.7239843444227,319.29672798434444,19.85017612524462,7.873808219178082,1211.2052485322897,579.4,deciduousForest,35.69334,-83.502845,tower,0.902625,GRSM,NA
SERC_013,43200.115561643834,1288.5199999999998,9.527620352250489,29.58434050880626,299.75657925636006,19.555980430528376,10.028360078277887,1437.0992876712328,2.2,deciduousForest,38.871792,-76.544434,distributed,0.892325,SERC,NA
WREF_085,43200.149369863015,2203.9485714285715,9.934978473581214,20.28017612524462,264.5308101761252,15.107577299412917,5.172598825831702,863.7322426614481,387.6,evergreenForest,45.830691,-121.961221,tower,0.856425,WREF,NA
RMNP_009,43200.121232876714,607.64,11.616849315068492,11.662414872798434,362.66167906066534,11.639632093933463,0.02278277886497039,640.8552328767123,2685.9,evergreenForest,40.20327,-105.481127,distributed,0.5004500000000001,RMNP,NA
LENO_007,43200.08810958904,1778.3814285714288,12.624301369863014,38.661045009784736,338.18697455968686,25.642673189823874,13.01837181996086,1678.8184187866927,14.8,deciduousForest,31.812516,-88.202238,distributed,0.8730500000000001,LENO,NA
LENO_018,43200.08810958904,1773.5142857142857,12.620544031311155,38.64412133072407,338.4851389432485,25.632332681017612,13.011788649706459,1678.0295694716242,12.8,woodyWetlands,31.810782,-88.184743,distributed,0.87965,LENO,NA
DELA_042,43200.09084931507,1614.7142857142858,12.354868884540117,37.087487279843444,338.4263796477495,24.72117808219178,12.366309197651663,1615.4068727984345,24.2,deciduousForest,32.541786,-87.805209,tower,0.9004000000000001,DELA,NA
DELA_038,43200.09084931507,1614.7142857142858,12.354868884540117,37.087487279843444,338.4263796477495,24.72117808219178,12.366309197651663,1615.4068727984345,25.5,woodyWetlands,32.54229,-87.806804,tower,0.9004000000000001,DELA,NA
DELA_050,43200.09052054794,1611.9442857142856,12.359964774951075,37.089788649706456,338.6905557729941,24.724876712328765,12.364911937377691,1615.3118512720157,25.2,deciduousForest,32.539898,-87.805178,tower,0.740275,DELA,NA
DELA_053,43200.09052054794,1611.9442857142856,12.359964774951075,37.089788649706456,338.6905557729941,24.724876712328765,12.364911937377691,1615.3118512720157,26.4,deciduousForest,32.537467,-87.804178,tower,0.88595,DELA,NA
DELA_008,43200.09052054794,1611.3571428571431,12.357835616438356,37.11990215264188,338.5553894324853,24.738868884540118,12.381033268101762,1616.7632954990215,21.8,woodyWetlands,32.540078,-87.814098,distributed,0.7949,DELA,NA
BART_046,43200.13978082192,1325.7199999999998,12.173765166340509,13.806978473581212,306.04624266144816,12.990371819960862,0.8166066536203528,799.9922465753425,303,deciduousForest,44.059946,-71.285408,tower,0.897375,BART,NA
UNDE_056,43200.151561643834,1000.047142857143,11.801933463796477,8.857463796477496,298.17479452054795,10.329698630136987,-1.4722348336594908,708.7267632093933,528.5,deciduousForest,46.232064,-89.543158,tower,0.9048750000000001,UNDE,NA
UNDE_057,43200.151561643834,1000.047142857143,11.801933463796477,8.857463796477496,298.17479452054795,10.329698630136987,-1.4722348336594908,708.7267632093933,516,woodyWetlands,46.234299,-89.540913,tower,0.901275,UNDE,NA
OSBS_027,43200.080794520545,1492.8571428571427,11.833091976516634,43.43945596868885,340.6871819960861,27.63627397260274,15.803181996086106,1908.2391467710372,41.4,evergreenForest,29.691969,-81.992063,tower,0.56215,OSBS,NA
